LLT	PT_enc
11-beta-hydroxylase deficiency	PT_00001
11-deoxycorticosterone increased	PT_00002
17 ketosteroids urine abnormal	PT_00003
17 ketosteroids urine decreased	PT_00004
17-alpha-hydroxylase deficiency	PT_00005
17-hydroxyprogesterone decreased	PT_00006
17-hydroxyprogesterone increased	PT_00007
1p36 deletion syndrome	PT_00008
2',5'-oligoadenylate synthetase test decreased	PT_00009
2-hydroxyglutaric aciduria	PT_00010
21-hydroxylase deficiency	PT_00011
22q11.2 deletion syndrome	PT_00012
3-hydroxyacetyl-coenzyme a dehydrogenase deficiency	PT_00013
3m syndrome	PT_00014
5'nucleotidase	PT_00015
5'nucleotidase increased	PT_00016
5-alpha-reductase deficiency	PT_00017
5-hydroxyindolacetic acid in urine	PT_00018
5-hydroxyindolacetic acid	PT_00018
5-hydroxyindolacetic acid in urine decreased	PT_00019
5-hydroxyindolacetic acid decreased	PT_00019
5-hydroxyindolacetic acid in urine increased	PT_00020
5-hydroxyindolacetic acid increased	PT_00020
5q minus syndrome	PT_00021
aase syndrome	PT_00022
abdomen crushing	PT_00023
abdominal abscess	PT_00024
abdominal adhesiolysis	PT_00025
intestinal adhesion lysis	PT_00025
abdominal adhesions	PT_00026
abdominal bruit	PT_00027
abdominal cavity drainage	PT_00028
abdominal compartment syndrome	PT_00029
abdominal discomfort	PT_00030
abdominal distension	PT_00031
abdominal exploration	PT_00032
abdominal fat apron	PT_00033
abdominal hernia	PT_00034
abdominal hernia gangrenous	PT_00035
abdominal hernia infection	PT_00036
abdominal hernia obstructive	PT_00037
abdominal hernia perforation	PT_00038
abdominal hernia repair	PT_00039
abdominal incarcerated hernia	PT_00040
abdominal infection	PT_00041
abdominal injury	PT_00042
abdominal lymphadenopathy	PT_00043
abdominal mass	PT_00044
abdominal migraine	PT_00045
abdominal neoplasm	PT_00046
abdominal operation	PT_00047
abdominal pain	PT_00048
abdominal pain lower	PT_00049
abdominal pain upper	PT_00050
abdominal panniculectomy	PT_00051
abdominal rebound tenderness	PT_00052
abdominal rigidity	PT_00053
abdominal sepsis	PT_00054
abdominal strangulated hernia	PT_00055
abdominal symptom	PT_00056
abdominal tenderness	PT_00057
abdominal transposition	PT_00058
abdominal wall abscess	PT_00059
abdominal wall anomaly	PT_00060
abdominal wall cyst	PT_00061
abdominal wall disorder	PT_00062
abdominal wall haematoma	PT_00063
abdominal wall haemorrhage	PT_00064
abdominal wall infection	PT_00065
abdominal wall mass	PT_00066
abdominal wall neoplasm	PT_00067
abdominal wall neoplasm benign	PT_00068
abdominal wall neoplasm malignant	PT_00069
abdominal wall oedema	PT_00070
abdominal wall operation	PT_00071
abdominal wall pain	PT_00072
abdominal wall sinus	PT_00073
abdominal wall wound	PT_00074
abdominal wound dehiscence	PT_00075
abdominal x-ray	PT_00076
abdominoplasty	PT_00077
aberrant aortic arch	PT_00078
aberrant motor behaviour	PT_00079
abetalipoproteinaemia	PT_00080
abiotrophia defectiva endocarditis	PT_00081
abnormal behaviour	PT_00082
abnormal clotting factor	PT_00083
abnormal cord insertion	PT_00084
abnormal dna methylation	PT_00085
abnormal dreams	PT_00086
abnormal faeces	PT_00087
abnormal involuntary movement scale	PT_00088
abnormal labour	PT_00089
abnormal labour affecting foetus	PT_00090
abnormal loss of weight	PT_00091
abnormal menstrual clots	PT_00092
abnormal organ growth	PT_00093
abnormal organ maturation	PT_00094
abnormal palmar/plantar creases	PT_00095
abnormal precordial movement	PT_00096
abnormal product of conception	PT_00097
abnormal sensation in eye	PT_00098
abnormal sleep-related event	PT_00099
dysfunctional uterine bleeding	PT_00100
abnormal uterine bleeding	PT_00100
abnormal weight gain	PT_00101
